t,month,conor,nate,khabib,floyd,jorge
1,1/1/2004,1,0,<1,<1,0
2,2/1/2004,1,<1,<1,<1,<1
3,3/1/2004,1,0,0,<1,0
4,4/1/2004,1,<1,0,<1,0
5,5/1/2004,1,<1,0,<1,0
6,6/1/2004,<1,0,<1,<1,0
7,7/1/2004,1,<1,<1,<1,0
8,8/1/2004,<1,<1,0,<1,<1
9,9/1/2004,<1,<1,<1,<1,0
10,10/1/2004,1,<1,<1,<1,<1
11,11/1/2004,1,<1,<1,<1,0
12,12/1/2004,<1,0,<1,<1,<1
13,1/1/2005,1,<1,<1,<1,0
14,2/1/2005,1,<1,<1,<1,<1
15,3/1/2005,1,<1,<1,<1,<1
16,4/1/2005,1,0,<1,<1,<1
17,5/1/2005,1,<1,<1,<1,0
18,6/1/2005,1,<1,0,1,<1
19,7/1/2005,1,0,<1,<1,0
20,8/1/2005,1,<1,<1,<1,0
21,9/1/2005,1,0,<1,<1,0
22,10/1/2005,1,<1,0,<1,0
23,11/1/2005,1,<1,<1,<1,<1
24,12/1/2005,<1,<1,<1,<1,0
25,1/1/2006,1,<1,<1,<1,0
26,2/1/2006,<1,0,<1,<1,<1
27,3/1/2006,<1,<1,<1,<1,0
28,4/1/2006,<1,<1,<1,1,0
29,5/1/2006,1,<1,<1,<1,<1
30,6/1/2006,<1,<1,<1,<1,0
31,7/1/2006,<1,<1,<1,<1,<1
32,8/1/2006,<1,<1,<1,<1,0
33,9/1/2006,<1,0,<1,<1,<1
34,10/1/2006,<1,<1,<1,<1,0
35,11/1/2006,<1,<1,<1,1,<1
36,12/1/2006,<1,<1,<1,<1,<1
37,1/1/2007,<1,<1,<1,<1,<1
38,2/1/2007,<1,<1,<1,<1,<1
39,3/1/2007,<1,<1,<1,<1,<1
40,4/1/2007,<1,<1,<1,1,<1
41,5/1/2007,<1,<1,0,6,<1
42,6/1/2007,<1,<1,<1,<1,<1
43,7/1/2007,<1,<1,<1,<1,<1
44,8/1/2007,<1,<1,<1,<1,<1
45,9/1/2007,<1,<1,<1,1,<1
46,10/1/2007,<1,<1,<1,<1,<1
47,11/1/2007,<1,<1,<1,1,<1
48,12/1/2007,<1,<1,<1,8,<1
49,1/1/2008,<1,<1,<1,<1,<1
