"","t","month","fighter","interest","region","country.etc","pop","lat","long","capital"
"1",1,2004-01-01,"conor",1,"Dublin","Ireland",1030431,53.33,-6.25,1
"2",1,2004-01-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"3",1,2004-01-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"4",1,2004-01-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"5",1,2004-01-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"6",2,2004-02-01,"conor",1,"Dublin","Ireland",1030431,53.33,-6.25,1
"7",2,2004-02-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"8",2,2004-02-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"9",2,2004-02-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"10",2,2004-02-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"11",3,2004-03-01,"conor",1,"Dublin","Ireland",1030431,53.33,-6.25,1
"12",3,2004-03-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"13",3,2004-03-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"14",3,2004-03-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"15",3,2004-03-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"16",4,2004-04-01,"conor",1,"Dublin","Ireland",1030431,53.33,-6.25,1
"17",4,2004-04-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"18",4,2004-04-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"19",4,2004-04-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"20",4,2004-04-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"21",5,2004-05-01,"conor",1,"Dublin","Ireland",1030431,53.33,-6.25,1
"22",5,2004-05-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"23",5,2004-05-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"24",5,2004-05-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"25",5,2004-05-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"26",6,2004-06-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"27",6,2004-06-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"28",6,2004-06-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"29",6,2004-06-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"30",6,2004-06-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"31",7,2004-07-01,"conor",1,"Dublin","Ireland",1030431,53.33,-6.25,1
"32",7,2004-07-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"33",7,2004-07-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"34",7,2004-07-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"35",7,2004-07-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"36",8,2004-08-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"37",8,2004-08-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"38",8,2004-08-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"39",8,2004-08-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"40",8,2004-08-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"41",9,2004-09-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"42",9,2004-09-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"43",9,2004-09-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"44",9,2004-09-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"45",9,2004-09-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"46",10,2004-10-01,"conor",1,"Dublin","Ireland",1030431,53.33,-6.25,1
"47",10,2004-10-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"48",10,2004-10-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"49",10,2004-10-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"50",10,2004-10-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"51",11,2004-11-01,"conor",1,"Dublin","Ireland",1030431,53.33,-6.25,1
"52",11,2004-11-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"53",11,2004-11-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"54",11,2004-11-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"55",11,2004-11-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"56",12,2004-12-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"57",12,2004-12-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"58",12,2004-12-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"59",12,2004-12-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"60",12,2004-12-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"61",13,2005-01-01,"conor",1,"Dublin","Ireland",1030431,53.33,-6.25,1
"62",13,2005-01-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"63",13,2005-01-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"64",13,2005-01-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"65",13,2005-01-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"66",14,2005-02-01,"conor",1,"Dublin","Ireland",1030431,53.33,-6.25,1
"67",14,2005-02-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"68",14,2005-02-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
